CountryName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,4999.612793,5064.023926,5497.710938,5419.234863,5279.431152,5082.166016,4977.481934,4900.775879,4896.674805,4916.106934
Albania,27203.60938,26752.55273,26027.54688,28669.17383,29050.47656,28173.65625,28424.58203,28917.2793,29957.75781,31132.71094
Algeria,46357.15625,46765.57031,47885.14453,46703.77344,50446.57031,52250.82422,52734.45703,54043.02734,54806.73047,55316.42578
Angola,15823.9834,15568.85645,15792.77441,16287.06641,16439.0957,16303.58008,15608.15527,15155.71973,14947.64746,14784.7002
Argentina,45130.23047,46783.81641,45869.00391,46581.38672,45360.98828,46003.43359,44633.89063,45356.50391,46753.10156,48109.37109
Armenia,17257.74414,17636.76172,18686.25586,18865.66992,19891.37305,20921.67773,21160.1875,22797.28711,23776.97852,24805.0957
Australia,82095.15625,82622.67969,85011.39844,86659.32813,88321.97656,88756.85938,89982.80469,90194.48438,91559.38281,92936.21875
Austria,88549.24219,90058.0625,89771.40625,89290.24219,90047.53906,90672.48438,91395.3125,93507.71094,95137.21875,96643.1875
Azerbaijan,34437.38672,33733.01563,33784.64844,35098.76953,35120.07031,34904.54297,33202.32813,32779.48438,33306.69531,34190.17188
"Bahamas, The",58793.69922,58047.02344,58285.30859,58417.86328,55788.88281,54491.38672,53341.75781,53358.58984,53657.44922,54089.23828
Bahrain,71300.57031,71420.15625,72847.10156,76007.96094,78124.71094,78308.14063,76956.55469,75189.26563,72500.92969,70352.38281
Bangladesh,6567.758789,6886.518066,7224.582031,7547.73584,7857.578125,8222.089844,8648.794922,8763.28418,9216.496094,9690.709961
Barbados,33756.20313,34044.58594,34701.03906,34207.89844,35436.36719,35061.46484,34617.89453,35146.69141,35691.28906,36284.70313
Belarus,32264.71875,33952.55078,34440.12109,34704.36328,35284.30469,33987.125,33254.28516,34303.82813,35758.04688,37015.50781
Belgium,99481.59375,101055.125,100974.6875,100868.0156,101583.9219,102617.375,103133.2266,103229.3984,103711.9219,105301.4219
Belize,20622.0625,20376.45117,20606.97656,19744.71875,20113.48438,20118.8418,18919.78516,18726.12109,18642.8418,18508.8418
Benin,4606.900879,4691.788086,4772.268066,4954.334961,5098.326172,5036.384766,5071.60791,5174.655762,5307.394043,5455.678223
Bhutan,13696.75781,14765.39746,15479.60742,15420.00781,16310.35938,16419.39844,17338.88086,18144.16211,19524.4668,20435.71094
Bolivia,11806.91211,12128.17773,12967.61816,13510.20605,13491.54199,14876.80664,14417.79395,15333.28027,15584.78027,15840.81934
Bosnia and Herzegovina,32937.21094,33792.12891,34189.32031,35231.33984,36199.76172,37802.22266,37928.08203,36562.75781,37964.75,39423.44531
Botswana,40198.83984,38884.16797,37678.89063,39434.47266,40057.21484,38286.41797,39025.14063,38859.99219,39656.51953,40666.95313
Brazil,32379.70117,33430.43359,33272.89063,33738.23047,33438.26172,32327.80078,32041.43359,32253.95508,32578.35352,33194.62891
Brunei Darussalam,175491.6719,178465.7188,177008.6719,170374.9531,163360.2813,161049.1719,156211.2656,157299.9531,167587.8594,170535.7656
Bulgaria,36726.55859,38777.83594,39139.17578,39505.32813,39451.16406,40162.89063,41903.94531,41541.96875,42994.00391,44353.84766
Burkina Faso,3954.986084,4156.024902,4365.525879,4555.983887,4678.436035,4711.580078,4811.130859,4950.280762,5133.748047,5280.030762
Burundi,1753.793945,1782.885986,1809.185059,1846.44104,1884.54895,1754.119995,1687.780029,1640.848022,1593.151001,1614.052002
Cabo Verde,14878.57422,15113.75684,14978.59473,14790.7998,14487.77246,14302.82715,14536.33496,14755.30566,15037.47266,15359.86914
Cambodia,4493.251953,4749.408203,5031.869141,5339.407227,5660.624023,6008.575195,6306.044922,6620.888184,6962.765137,7333.823242
Cameroon,7116.464844,7189.894043,7288.88916,7452.646973,7645.381836,7841.855957,7951.429199,7958.106934,8049.452148,8176.757813
Canada,79204.89844,80519.98438,80975.61719,81873.84375,83735.10156,83893.39844,84553.26563,85695.65625,86436.52344,87936.39844
Central African Republic,2268.959961,2343.946045,2444.454102,1547.709961,1566.847046,1636.993042,1687.069946,1725.109985,1771.447998,1819.295044
Chad,5320.326172,5148.342773,5410.710938,5534.176758,5701.293945,5655.494141,5131.577148,4798.309082,4843.21582,4950.898926
Channel Islands,94964.97656,97653.36719,98370.07031,99182.92969,100132.2891,101379.8984,102502.7344,104333.0938,106952.0313,109422.2344
Chile,45067.94141,45714,47207.47656,48171.33203,48475.33594,48861.21484,49118.75781,49238.89063,50668.83594,51702.81641
China,16830.2793,18347.06836,19731.52734,21209.3418,22718.7832,24266.74414,25878.24805,27644.86719,29498.53516,31379.99219
Colombia,24027.04102,24696.56641,24857.12109,25616.49023,26196.11523,26407.39063,26839.22656,27145.82617,27491.76758,28080.45117
Comoros,5869.214844,5839.132813,5826.304199,5841.755859,5771.777832,5642.367188,5588.617188,5549.365234,5608.470215,5668.288086
"Congo, Dem. Rep.",1924.980957,2036.176025,2154.12793,2261.585938,2389.819092,2471.995117,2453.280029,2456.738037,2467.458008,2495.196045
"Congo, Rep.",14909.77832,14661.68164,14540.30859,14707.62207,15282.33984,15352.61621,14531.0127,13575.03809,13610.69824,13040.80273
Costa Rica,30156.64258,32701.99414,31607.2793,31653.30469,32511.72852,33752.49219,35990.97266,35942.53516,36698.68359,37608.67578
Cote d'Ivoire,8460.139648,7992.410156,8675.746094,8975.444336,9511.5,10088.6123,10674.02441,11185.87402,11653.74121,12113.24414
Croatia,52299.77344,54395.58984,55227.64453,56427.37891,54872.39063,55145.25781,56594.76563,56803.41797,57462.95313,58758.25781
