Country Name,2010,2013,2017
Albania,3443000,3928000,5186000
Algeria,1757000,2136000,5058000
Argentina,5307000,6746000,12258000
Armenia,563000,1083000,1482000
Australia,7103000,9052000,10932000
Austria,9882000,10671000,11491000
Azerbaijan,3176000,4285000,4109000
Bangladesh,1913000,1460000,
Belarus,415000,708000,706000
Belgium,8801000,10803000,12153000
Bolivia,604000,837000,1105000
Brazil,6457000,8866000,9458000
British Virgin Islands,151000,,
Bulgaria,3676000,3930000,6228000
Cambodia,505000,872000,1752000
Canada,28680000,32971000,33060000
Central African Republic,38000,,
Chad,39000,,52000
Chile,2218700,2999000,3620000
China,57386000,98185000,143035000
Colombia,2342000,3605000,4017000
"Congo, Rep.",,180000,
Costa Rica,662000,790000,1150000
Croatia,1873000,2927000,1923000
Cuba,251000,286000,
Cyprus,1246000,1115000,1407000
Czech Republic,8673000,5781000,6775000
Denmark,7726000,6977000,8102000
Dominican Republic,401000,392000,522000
Ecuador,899000,1138000,1547000
"Egypt, Arab Rep.",4618000,5782000,
El Salvador,1421000,1515000,1871000
Estonia,955000,1166000,1279000
Eswatini,1141000,1573000,1751000
Fiji,128000,,169000
Finland,6633000,8562000,9330000
France,25041000,26062000,29055000
French Polynesia,89000,,55000
Georgia,2086000,3220000,3851000
Germany,85872000,87459000,92402000
Greece,3799000,4594000,7685000
Guatemala,694000,846000,1328000
Honduras,408000,471000,
"Hong Kong SAR, China",84442000,84414000,91304000
Hungary,16082000,16038000,20297000
Iceland,299000,365000,619000
India,12988000,16626000,23943000
Indonesia,6235000,8025000,8856000
"Iran, Islamic Rep.",,,10543000
Ireland,6917000,6579000,8171000
Israel,4269000,4757000,7597000
Italy,28188000,26305000,31805000
Japan,16637000,17473000,17889000
Jordan,2708000,1498000,1592000
Kazakhstan,5893000,9931000,
"Korea, Rep.",12488000,14846000,26496000
Kyrgyz Republic,1342000,3993000,4446000
Lao PDR,1686000,2857000,3049000
Latvia,3332000,1776000,2055000
Lithuania,1411000,1764000,2032000
Luxembourg,1237000,1624000,1802000
"Macao SAR, China",753000,1446000,1391000
Malta,294000,363000,573000
Mauritius,212000,228000,283000
Mexico,14334000,15911000,19067000
Moldova,117200,157600,229000
Morocco,2175000,2195000,1849000
Nepal,765000,983000,1197000
Netherlands,18368000,18094000,
New Caledonia,132000,121000,135000
New Zealand,2026000,2197000,2853000
Nicaragua,908000,994000,982000
Norway,7590000,9280000,8170000
Oman,1873000,3103000,4473000
Panama,392000,619000,917000
Paraguay,302000,440000,1548000
Peru,2058000,2364000,2875000
Poland,42760000,52580000,46700000
Portugal,,1490000,2195000
Puerto Rico,980000,839000,792000
Romania,10905000,11364000,19953000
Russian Federation,39323000,54069000,39629000
Samoa,56000,51000,55000
Saudi Arabia,17827000,19153960,21071000
Seychelles,59000,47000,74000
Sierra Leone,76000,111000,
Singapore,7342000,8647000,9889000
Slovak Republic,2692000,2129000,3870000
Slovenia,2874000,2612000,3013000
Spain,12379000,11246000,17031000
Sri Lanka,1122000,1262000,1439000
Sweden,13042000,15917000,21232000
Switzerland,10011000,12403000,15318000
Syrian Arab Republic,6259000,,
Tajikistan,,15000,31000
Thailand,5451000,5970000,8963000
Trinidad and Tobago,273000,,
Tunisia,2250000,2873000,
Turkey,6557000,7526000,8887000
Uganda,324000,471000,
Ukraine,17180000,23761000,26437000
United Kingdom,55562000,57792000,74189000
United States,61061000,61344000,87703000
Uruguay,1027000,2281000,1789000
Vanuatu,21000,26000,28000
"Venezuela, RB",1477000,1931000,1079000
Zimbabwe,650000,2946000,2768000
