Country Name,2010,2013,2017
Bangladesh,1913000,1460000,..
Bolivia,604000,837000,1105000
Cambodia,505000,872000,1752000
Central African Republic,38000,..,..
Chad,39000,..,52000
"Congo, Rep.",..,180000,..
"Egypt, Arab Rep.",4618000,5782000,..
El Salvador,1421000,1515000,1871000
Eswatini,1141000,1573000,1751000
Honduras,408000,471000,..
India,12988000,16626000,23943000
Indonesia,6235000,8025000,8856000
Kyrgyz Republic,1342000,3993000,4446000
Lao PDR,1686000,2857000,3049000
Moldova,117200,157600,229000
Morocco,2175000,2195000,1849000
Nepal,765000,983000,1197000
Nicaragua,908000,994000,982000
Sierra Leone,76000,111000,..
Syrian Arab Republic,6259000,..,..
Tajikistan,..,15000,31000
Tunisia,2250000,2873000,..
Uganda,324000,471000,..
Ukraine,17180000,23761000,26437000
Vanuatu,21000,26000,28000
Zimbabwe,650000,2946000,2768000
