Country Name,2010,2013,2017
Albania,2191000,2857000,4643000
Algeria,2070000,2733000,2451000
American Samoa,23100,20800,20000
Andorra,1808000,2328000,..
Antigua and Barbuda,230000,243000,247000
Argentina,5325000,5246000,6720000
Armenia,684000,1084000,1495000
Aruba,824000,979000,1070500
Australia,5790000,6482000,8815000
Austria,22004000,24813000,29460000
Azerbaijan,1280000,2130000,2454000
"Bahamas, The",1370000,1366000,1439000
Bahrain,11952000,9163000,11370000
Barbados,532000,509000,664000
Belarus,119300,6241800,11060200
Belgium,7186000,7684000,8385000
Belize,242000,294000,427000
Bermuda,232000,236000,270000
Bosnia and Herzegovina,365000,529000,923000
Botswana,1973000,1544000,..
Brazil,5161000,5813000,6589000
British Virgin Islands,330000,366000,335000
Brunei Darussalam,214000,225000,259000
Bulgaria,6047000,6898000,8883000
Canada,16219000,16059000,20798000
Cayman Islands,288000,345000,418000
Chile,2801000,3576000,6450000
China,55664000,55686000,60740000
Colombia,1405000,2288000,4113000
Costa Rica,2100000,2428000,2960000
Croatia,9111000,10948000,15593000
Cuba,2507000,2839000,4594000
Curacao,342000,441000,399000
Cyprus,2173000,2405000,3652000
Czech Republic,6334000,7852000,10160000
Denmark,9425000,8557000,11743000
Dominica,77000,78000,72000
Dominican Republic,4125000,4690000,6188000
Ecuador,1047000,1364000,1608000
Estonia,2511000,3111000,3245000
Fiji,632000,659000,843000
Finland,2319000,2797000,3180000
France,76647000,83634000,86861000
French Polynesia,154000,164000,199000
Georgia,2032000,4954000,6483000
Germany,26875000,31545000,37452000
Greece,15007000,17920000,27194000
Grenada,110000,128000,168000
Guam,1197000,1334000,1544000
Guatemala,1384000,1516000,2113000
Guyana,152000,200000,247000
"Hong Kong SAR, China",20085000,25661000,27884000
Hungary,3462000,4388000,5650000
Iceland,489000,807300,2225000
"Iran, Islamic Rep.",2938000,4769000,4867000
Iraq,1518000,892000,..
Ireland,7134000,8260000,10338000
Israel,2803000,2962000,3613000
Italy,43626000,47704000,58253000
Jamaica,1922000,2008400,2353000
Japan,8611000,10364000,28691000
Jordan,4207000,3945000,3843500
Kazakhstan,4097000,6841000,7701000
"Korea, Rep.",8798000,12176000,13336000
Kuwait,207000,307000,..
Latvia,1373000,1536000,1949000
Lebanon,2168000,1274000,1857000
Liechtenstein,49800,52400,69000
Lithuania,1507000,2012000,2523000
Luxembourg,805000,945000,1046000
"Macao SAR, China",11926000,14268000,17255000
Malaysia,24577000,25715000,25948000
Maldives,792000,1125000,1390000
Malta,1339000,1582000,2274000
Marshall Islands,4600,..,6000
Mauritius,935000,993000,1342000
Mexico,23290000,24151000,39291000
Monaco,279000,328000,355000
Montenegro,1088000,1324000,1877000
Namibia,984000,1176000,1499000
Netherlands,10883000,12783000,17924000
New Caledonia,99000,108000,121000
New Zealand,2435000,2629000,3555000
North Macedonia,262000,400000,631000
Northern Mariana Islands,375000,436000,656000
Norway,4767000,4778000,6252000
Oman,1441000,1392000,2372000
Palau,85000,108000,123000
Panama,1324000,1658000,1843000
Paraguay,465000,610000,1584000
Peru,2299000,3164000,4032000
Poland,12470000,15800000,18258000
Portugal,6756000,9177000,15432000
Puerto Rico,3186000,3172000,3797000
Qatar,1699500,2611900,2256500
Romania,7498000,8019000,10926000
Russian Federation,22281000,30792000,24390000
Samoa,122000,116000,146000
San Marino,120000,71000,78000
Saudi Arabia,10850000,15772000,16109000
Serbia,683000,922000,1497000
Seychelles,175000,230000,350000
Singapore,9161000,11899000,13903000
Sint Maarten (Dutch part),443000,467000,402000
Slovak Republic,1327000,1670000,2162000
Slovenia,1869000,2259000,3586000
South Africa,8074000,9537000,10285000
Spain,52677000,60675000,81786000
Sri Lanka,654000,1275000,2116400
St. Kitts and Nevis,98000,107000,..
St. Lucia,306000,319000,386000
St. Vincent and the Grenadines,72000,72000,76000
Suriname,205000,249000,278000
Sweden,5183000,5229000,7054000
Switzerland,8628000,8967000,9889000
Thailand,15936000,26547000,35592000
Tonga,47100,48200,62500
Trinidad and Tobago,388000,434000,395000
Turkey,31364000,37795000,37601000
Turks and Caicos Islands,281000,290600,416400
Tuvalu,1700,1300,2500
United Kingdom,28295000,31063000,37651000
United States,60010000,69995000,76941000
Uruguay,2353000,2683000,3674000
"Venezuela, RB",526000,986000,427000
Virgin Islands (U.S.),572000,590000,..
